mediaid;mediatype;title;description;duration;language;thumbnailurl;playurl;downloadurl;keywords;tags;imageurl;presentationdate;releasedate;lastmodified 
111;audio;John Wilmerding Symposium on American Art and Community Celebration 2021: Session I: An Evening Celebration of Alma Thomas; <p>Virtual introduction by former First Lady Michelle Obama; poetry reading and discussion with Ross Gay; and virtual exhibition tour with Seth Feman and Jonathan Frederick Walz.<br> 
78025867;audio;Music to Honor the Chester Dale Collection; <p>Program: Music by GershwinWILLCHANGE MilhaudWILLCHANGE PorterWILLCHANGE StravinskyWILLCHANGE and other composers. To honor <i>From Impressionism to Modernism: The Chester Dale Collection</i>WILLCHANGE violinist Bruno Nasta and pianist Danielle Hahn called upon clarinetist David NeithamerWILLCHANGE bassist Jonathan NazdinWILLCHANGE and pianist Ronald Chiles to join them for performances of works that music historians now recognize as belonging to the &quot;modern&quot; period in music. The ensemble played a suite for violinWILLCHANGE clarinetWILLCHANGE and piano by Darius Milhaud; Stravinsky's famous Soldier's Tale; and a medley of songs by Gershwin and other Broadway composersWILLCHANGE noting that Gershwin and Chester Dale knew each other personally.</p> 
78150710;audio;Art Theft and the Tate's Stolen Turners ; <p>Sandy NairneWILLCHANGE directorWILLCHANGE National Portrait GalleryWILLCHANGE London. In 1994 two important paintings by J.M.W. Turner were stolen from a public gallery in FrankfurtWILLCHANGE GermanyWILLCHANGE while on loan from the Tate in London. In this podcast recorded on September 15WILLCHANGE 2011WILLCHANGE at the National Gallery of Art Sandy Nairne reveals his own involvementWILLCHANGE as then director of programs at the TateWILLCHANGE in the pursuit of the pictures and in the negotiation for their return. Nairne shares this story in his new bookWILLCHANGE Art Theft and the Tate's Stolen TurnersWILLCHANGE also examining other high-value art thefts and trying to solve the puzzle of why thieves steal well-known works of art that cannot be soldWILLCHANGE even on the black market.</p> 
78154365;audio; My Faraway One: The Letters of Georgia O'Keeffe and Alfred StieglitzWILLCHANGE 1915-1933  ; <p>Sarah GreenoughWILLCHANGE senior curator and head of the department of photographsWILLCHANGE National Gallery of Art. Sarah Greenough talks about her new book on the letters of Georgia O'Keeffe and Alfred StieglitzWILLCHANGE My Faraway One: Selected Letters of Georgia O'Keeffe and Alfred StieglitzWILLCHANGE Volume OneWILLCHANGE 1915-1933WILLCHANGE in this podcast recorded on September 18WILLCHANGE 2011WILLCHANGE at the National Gallery of Art. Greenough notes the insights provided by the correspondence on their artWILLCHANGE their friendships with many key figures of early twentieth-century American art and cultureWILLCHANGE andWILLCHANGE most especiallyWILLCHANGE their relationship with each other.</p> 
78158581;audio;In the Tower: Nam June Paik Symposium; <p>Christine MehringWILLCHANGE associate professor of art history and director of graduate studiesWILLCHANGE University of ChicagoWILLCHANGE and Stephen VitielloWILLCHANGE associate professor of kinetic imagingWILLCHANGE Virginia Commonwealth University. Following the lectures is a conversation with Ken HakutaWILLCHANGE executor of the Nam June Paik estateWILLCHANGE and Jon HuffmanWILLCHANGE curator of the Nam June Paik estate. Moderated by Harry CooperWILLCHANGE curator and head of modern and contemporary artWILLCHANGE National Gallery of Art. Recorded on September 23WILLCHANGE 2011WILLCHANGE at the National Gallery of ArtWILLCHANGE as the exhibition In the Tower: Nam June Paik drew to a closeWILLCHANGE this symposium considers the work of this pioneer of new media from his earliest explorations of television to his later experiments with sound and video. This exhibition is the third installation for the In the Tower seriesWILLCHANGE which presents work by significant artists of the late 20th and early 21st centuries. The symposium was coordinated with and supported by the Embassy of Korea.</p> 
78159817;audio;Conversations with Artists: Nancy Graves and Donald Saff; <p>Nancy Graves and Donald SaffWILLCHANGE artistsWILLCHANGE in conversation with Ruth FineWILLCHANGE curator of special projects in modern artWILLCHANGE National Gallery of Art. Artists Nancy Graves and Donald SaffWILLCHANGE artist and founding director of GraphicstudioWILLCHANGE discuss the formation of the Graphicstudio archive at the National Gallery of Art with Ruth Fine in this podcast recorded on October 6WILLCHANGE 1991. This program was held in honor of the exhibition Graphicstudio: Contemporary Art from the Collaborative Workshop at the University of South FloridaWILLCHANGE which was on view from September 15WILLCHANGE 1991WILLCHANGE to January 5WILLCHANGE 1992WILLCHANGE and for which Graves completed her most recent workWILLCHANGE Canoptic Legerdemain. The archive consists of 140 paintingsWILLCHANGE photographsWILLCHANGE sculpturesWILLCHANGE and works in other media created by 24 artists who worked in collaboration with Graphicstudio's printers and artisans.</p> 
78160638;audio;Michael Kahn and Shakespeare's Italy; <p>Michael KahnWILLCHANGE artistic directorWILLCHANGE Shakespeare Theatre CompanyWILLCHANGE in conversation with Eric DenkerWILLCHANGE lecturerWILLCHANGE National Gallery of ArtWILLCHANGE and Faya CauseyWILLCHANGE head of the department of academic programsWILLCHANGE National Gallery of Art. Although he never traveled to ItalyWILLCHANGE William Shakespeare set many of his plays there. In this lecture Michael Kahn discusses many of Shakespeare's plays set in ItalyWILLCHANGE concentrating on The Merchant of VeniceWILLCHANGE which opened at the Harman Center for the Arts on June 21WILLCHANGE 2011. This programWILLCHANGE recorded on May 22WILLCHANGE 2011WILLCHANGE was organized in conjunction with the Gallery's exhibition Venice: Canaletto and His RivalsWILLCHANGE on view from February 20WILLCHANGE 2011WILLCHANGE to May 30WILLCHANGE 2011.</p> 
78161533;audio;The Moment of Caravaggio: Part 5: Severed Representations; <p>Michael FriedWILLCHANGE J. R. Herbert Boone Professor and director of the Humanities CenterWILLCHANGE The Johns Hopkins University In a series of six lecturesWILLCHANGE Michael Fried offers a compelling account of what he calls &quot;the internal structure of the pictorial act&quot; in the revolutionary art of Michelangelo Merisi da Caravaggio. The accompanying publicationWILLCHANGE The Moment of CaravaggioWILLCHANGE is available for purchase from the Gallery Shops. In this audio podcast of the fifth lectureWILLCHANGE originally delivered at the National Gallery of Art on May 12WILLCHANGE 2002WILLCHANGE Professor Michael Fried discusses how the &quot;violent&quot; birth of the full-blown gallery picture (as seen in Judith and Holoferenes) is figured in Caravaggio's art as beheading or decapitationWILLCHANGE an allegory for the act of painting.</p> 
78163008;audio;Conversations with Artists: Scott Burton and George Segal; <p>Scott Burton and George SegalWILLCHANGE artistsWILLCHANGE in conversation with Nan RosenthalWILLCHANGE curator of 20th-century artWILLCHANGE National Gallery of Art. In honor of A Century of Modern Sculpture: The Patsy and Raymond Nasher CollectionWILLCHANGE an exhibition on view at the National Gallery of Art from June 28WILLCHANGE 1987WILLCHANGE to February 15WILLCHANGE 1988WILLCHANGE Scott Burton and George Segal discussed their work with Nan Rosenthal. The exhibition featured a selection of 70 works of 20th-century sculptureWILLCHANGE collected for the Nashers' home in DallasWILLCHANGE TexasWILLCHANGE and for installation at a Dallas shopping center and office complex. Held on December 6WILLCHANGE 1987WILLCHANGE this conversation was the one of the first programs at the Gallery to feature two living artists. Both artists focused on making sculpture for public spaces in the late 1980s—spaces whose users represent a heterogeneous group in respect to their knowledge of art and their taste.</p> 
78164505;audio; Conversations with Artists: Richard MisrachWILLCHANGE Desert Cantos and Other Landscapes  ; <p>Richard MisrachWILLCHANGE photographer To coincide with the exhibition Carleton Watkins: The Art of PerceptionWILLCHANGE on view from February 20 to May 7WILLCHANGE 2000WILLCHANGE Richard Misrach discussed his photographs of desert cantos and other landscapes as following in Watkins' legacy. The lecture took place on March 26WILLCHANGE 2000. Misrach distinguished himself in his 30-year career as one of the most accomplished photographers of our time. His passionate and intelligent records of the American West present the chilling details of assaults on the landscape by contemporary civilizationWILLCHANGE while also eloquently revealing its enduring beauty. Misrach explains that although he was not conscious of Watkins' photographsWILLCHANGE which evidence the man-made in Pacific Northwest landscapes and were taken more than a hundred years agoWILLCHANGE the profound influence of his work is unmistakable.</p> 
78165553;audio;Conversations with Artists: Ed Ruscha; <p>Ed RuschaWILLCHANGE artist. Ed Ruscha discusses his artistic processes and influencesWILLCHANGE and their relationship to photographyWILLCHANGE drawingWILLCHANGE and pop culture in this podcast recorded on February 13WILLCHANGE 2005WILLCHANGE at the National Gallery of Art. This lecture marked the opening of Cotton PuffsWILLCHANGE Q-TipsÂ®WILLCHANGE Smoke and Mirrors: The Drawings of Ed RuschaWILLCHANGE the first museum retrospective of the artist's drawings. The title of the exhibition refers to a quote from Ruscha about some of his drawing tools (cotton puffs and Q-tipsÂ®) and illusionary effects (smoke and mirrors). Featuring 89 works and 6 studio notebooks dated from 1959 to 2002WILLCHANGE the retrospective traces Ruscha's career from early pop images of American commercial logos and gas stations to later images depicting words and phrases as subject matter.</p> 
78167171;audio;Conversations with Artists: Pat Steir; <p>Pat SteirWILLCHANGE artistWILLCHANGE and Kathan BrownWILLCHANGE founder and director of Crown Point PressWILLCHANGE in conversation with Ruth FineWILLCHANGE curator of special projects in modern artWILLCHANGE National Gallery of Art. In this podcast recorded on March 25WILLCHANGE 1990WILLCHANGE at the National Gallery of ArtWILLCHANGE Pat Steir appears in conversation with Kathan Brown to celebrate the exhibition The 1980s: Prints from the Collection of Joshua P. Smith. Moderated by exhibition curator Ruth FineWILLCHANGE the conversation explores the role that printmaking and the artist's involvement with Crown Point Press have played in her career. Also examined is Steir's use of paintings and drawings to address many of the important visual and conceptual issues of her generation.</p> 
